Year,Temperature.CO2 Fossil Emissions,Temperature.CO2 AFOLU Emissions,Temperature.Total CH4 Emissions,Temperature.Total N2O Emissions,Temperature.Total SO2 emissions
1750,9.505619891,297.4646065,19.01978312,86.02230754,2.440048435
1751,9.505963229,302.9370985,18.91510887,87.64746362,2.408379138
1752,9.510002042,308.5102686,18.88971181,89.30332259,2.397116044
1753,9.51034538,314.185969,19.12137723,90.99046447,2.410693365
1754,9.514384194,319.9660859,19.50906107,92.70948029,2.462065253
1755,9.518423007,325.8525403,19.50045493,94.4609722,2.442355144
1756,10.16917002,331.8472885,19.4625366,96.24555376,2.419184325
1757,10.17320884,337.9523229,20.02354066,98.0638501,2.507464693
1758,10.17724765,344.1696723,19.93400533,99.91649818,2.479743826
1759,10.18128646,350.5014029,20.14146621,101.804147,2.473528035
1760,10.1816298,356.9496193,20.41679714,103.7274577,2.497745196
1761,11.14651159,363.5164642,20.45599017,105.6871042,2.509181763
1762,11.15056977,370.2041201,20.45168738,107.6837728,2.466504133
1763,11.15462794,377.0148097,20.54517934,109.718163,2.480992166
1764,11.15868611,383.9507963,20.26091721,111.7909874,2.421867931
1765,11.16274429,391.0143851,20.919155,113.9029722,2.497554066
1766,12.44543696,398.2079236,20.8535919,116.0548571,2.484408322
1767,12.44949514,405.5338025,20.99917946,118.247396,2.482742878
1768,12.45355331,412.9944564,21.65945211,120.481357,2.585377496
1769,12.45761148,420.5923649,21.49633535,122.7575225,2.542757581
1770,12.46166966,428.330053,21.63439757,125.0766899,2.551004694
1771,13.81090157,436.2100923,21.4289211,127.4396717,2.456424302
1772,13.81498041,444.2351017,21.39461572,129.8472955,2.431878812
1773,13.81905926,452.4077481,21.59523139,132.3004048,2.437570529
1774,13.8231381,460.7307476,22.25970773,134.7998589,2.528911972
1775,13.82721695,469.2068664,22.20096329,137.3465333,2.497313043
1776,15.25035837,477.8389213,22.14194213,139.9413202,2.466672079
1777,15.25443721,486.6297812,22.56871006,142.5851285,2.521353634
1778,15.25851606,495.5823676,22.85608093,145.2788843,2.560565944
1779,15.2625949,504.6996558,22.82063569,148.0235312,2.503712449
1780,15.27036922,513.9846758,23.24616665,150.8200307,2.545624085
1781,17.07416836,523.4405135,23.24965548,153.6693625,2.551092641
1782,17.07827094,533.0703113,23.34175812,156.5725245,2.518173245
1783,17.08606901,542.8772697,23.37991679,159.5305339,2.513461275
1784,17.09017159,552.8646479,23.2940423,162.5444267,2.478316441
1785,17.10194574,563.035765,23.80210554,165.6152589,2.529190605
1786,19.40463405,573.3940015,23.831995,168.7441059,2.523874405
1787,19.41243212,583.9427996,24.17652818,171.932064,2.558671152
1788,19.4165347,594.6856653,24.85592892,175.1802499,2.648030358
1789,19.42433276,605.6261687,24.71707284,178.4898013,2.597817354
1790,19.43213083,616.7679459,24.94220857,181.8618776,2.605536163
1791,21.69419182,628.1146997,24.77843217,185.2976601,2.565535213
1792,22.34876643,639.6702011,24.81889294,188.7983522,2.555885905
1793,22.37174568,651.4382904,25.03153141,192.3651804,2.549374599
1794,22.32534355,663.4228787,25.76753778,195.9993941,2.642660373
1795,22.33821728,675.6279489,25.77334281,199.7022662,2.610163563
1796,23.43921459,688.0575572,25.74058407,203.475094,2.568822151
1797,24.5980621,700.7158345,26.23006226,207.3191991,2.640239462
1798,25.61685792,713.6069877,26.54644012,211.235928,2.684800166
1799,26.98144303,726.7353009,26.70648817,215.2266528,2.661313715
1800,28.77780539,740.1051373,27.05634308,219.2927714,2.698593795
1801,28.55469611,753.7209402,27.12488718,223.4357081,2.688431218
1802,37.07238349,767.5872346,27.33978432,227.6569144,2.727330113
1803,32.11505223,781.708629,27.32049985,231.9578688,2.675871996
1804,35.05259222,796.0898163,27.46474997,236.3400779,2.691782017
1805,34.26830496,810.735576,27.9507982,240.8050769,2.729785228
1806,35.86203938,825.6507755,28.13437245,245.3544298,2.736325627
1807,38.36726044,840.8403718,28.45865603,249.9897303,2.775121695
1808,35.85692752,856.3094128,29.18524117,254.7126021,2.846709202
1809,35.88850331,872.0630397,29.12865813,259.5246997,2.801892048
1810,38.156726,888.1064879,29.42453242,264.4277086,2.823983532
1811,40.3635149,904.4450894,29.40578756,269.4233465,2.803000631
1812,41.75970724,921.084274,29.4202985,274.5133633,2.785422831
1813,41.95454084,938.0295718,29.77847603,279.6995421,2.796288721
1814,42.8876376,955.2866142,30.54785186,284.9836995,2.893725367
1815,44.31824074,972.8611365,30.64433954,290.3676866,2.881174397
1816,49.03968264,990.7589794,30.79985622,295.8533893,2.89451963
1817,51.19270204,1008.986091,31.19839541,301.4427295,2.939425965
1818,51.50323308,1027.548529,31.68760832,307.1376649,3.001978233
1819,51.74568402,1046.452462,31.84544135,312.9401905,2.956182588
1820,52.53618867,1065.704174,32.33339467,318.852339,2.995581553
1821,53.36192138,1085.310061,32.52138863,324.8761814,3.007308731
1822,55.45545554,1105.27664,32.73451052,331.0138277,2.99428324
1823,58.7709369,1125.610547,32.75571509,337.2674281,2.994537839
1824,60.46706104,1146.318539,33.0519787,343.6391732,3.021111981
1825,63.111523,1167.407499,33.52533882,350.1312949,3.071614762
1826,63.69625003,1188.884434,33.7481029,356.7460676,3.059193093
1827,68.30482988,1210.756484,34.15505001,363.4858082,3.127305637
1828,68.9822692,1233.030916,34.99912851,370.3528778,3.231000882
1829,68.39394372,1255.715133,35.01640513,377.3496819,3.189500784
1830,91.36832944,1278.816675,35.40215534,384.4786715,3.406492167
1831,86.70145063,1302.343219,35.37418705,391.7423438,3.316891703
1832,86.79580076,1326.302583,35.56272349,399.1432433,3.316047924
1833,88.77741696,1350.70273,35.98083111,406.6839625,3.342535309
1834,90.5212983,1375.55177,36.76106097,414.367143,3.437176483
1835,92.61388732,1400.857961,36.88278973,422.1954762,3.431091533
1836,107.0790399,1426.629713,37.24729235,430.1717043,3.560612062
1837,107.2231617,1452.875591,37.69980678,438.2986214,3.590574873
1838,110.9912884,1479.604317,38.24210962,446.5790744,3.677349384
1839,114.735853,1506.824775,38.51117556,455.0159639,3.680419963
1840,122.9164271,1534.546011,38.88776194,463.6122453,3.742445207
1841,126.7943459,1562.777238,39.38162317,472.3709299,3.826558744
1842,134.2652383,1591.527838,39.61872888,481.2950859,3.856907998
1843,137.2349296,1620.807366,39.65326382,490.3878394,3.853309393
1844,146.0170923,1650.625553,40.04426499,499.6523756,3.976687413
1845,160.4739031,1680.992309,40.66967667,509.0919398,4.154281247
1846,161.9589046,1711.917726,40.97519975,518.7098388,4.138125135
1847,173.9315477,1743.412082,41.61647168,528.5094417,4.301750208
1848,172.660674,1775.485843,42.44947063,538.4941812,4.401966129
1849,179.0134873,1808.149669,42.63396461,548.6675551,4.4428603
1850,188.2971893,1841.414415,43.14236365,559.033127,4.544463776
1851,188.9473101,1812.641691,43.15191371,571.5715188,4.506599718
1852,196.5696209,2017.958792,43.34412933,585.1317128,4.548173377
1853,205.0343782,2010.429149,43.88435963,597.2067084,4.645593816
1854,241.4710874,2003.49854,44.80907906,609.7889385,5.0624187
1855,243.9077243,1992.57304,44.9570539,620.8449042,5.055876658
1856,260.8928805,2014.438713,45.32147323,630.363965,5.188552235
1857,263.451509,2033.990905,46.01300694,640.2819203,5.28574648
1858,267.6077703,2051.125846,46.54057729,648.1239126,5.361342808
1859,285.2848882,2079.153212,46.94962615,655.1625586,5.522088206
1860,314.4307083,2095.717761,47.37614023,661.0624675,5.787726355
1861,331.4036247,2136.721579,48.2346867,665.1588808,5.933301365
1862,336.6365241,1916.34624,49.13056212,669.257262,5.94350385
1863,357.2415719,1916.997535,49.71022253,673.1290102,6.11934725
1864,383.759646,1918.269413,50.66032473,677.1849363,6.376488797
1865,406.520184,1921.087377,51.9800751,680.9942922,6.643795616
1866,420.4531021,1921.585666,52.74699293,684.6173553,6.765960835
1867,449.1953027,1916.052688,53.94102178,688.4915934,7.119763794
1868,460.2890534,1910.698725,55.28767356,693.5563406,7.325189711
1869,488.4396241,1904.67254,55.83359728,697.4433648,7.571114079
1870,500.8359388,1900.645177,56.99659231,701.7352482,7.762947987
1871,532.2577503,1974.459419,57.57401422,713.8267221,8.019553554
1872,587.5811859,2287.485899,58.18710545,739.7925123,8.487273155
1873,623.3057592,2327.648136,59.62016165,775.9784934,8.932963275
1874,590.0221812,2354.256216,60.88850035,819.7215684,8.750701465
1875,634.898549,2383.068243,61.4471703,867.5279968,9.090838437
1876,644.7162038,2411.35367,62.60294811,915.7927965,9.266189578
1877,658.9603312,2435.735782,63.64524259,961.8957033,9.510372736
1878,662.4475459,2460.989956,64.71120383,1001.946837,9.597660042
1879,707.8810192,2486.749301,65.90279841,1035.268193,10.09352322
1880,803.7596678,2509.623248,66.6649843,1057.030094,10.93632234
1881,825.3182473,2648.024913,67.70670095,1069.377593,11.29350673
1882,868.2868736,2471.224191,68.57787524,1082.919239,11.7388482
1883,919.3900694,2497.151688,69.1859791,1093.31529,12.25438403
1884,926.5548868,2508.986068,70.48060515,1102.456038,12.46724553
1885,932.3926773,2531.633224,71.60546241,1112.197787,12.57026623
1886,946.6222192,2535.558324,72.58254388,1119.648002,12.68626323
1887,992.9671993,2535.377123,73.77743063,1128.421078,13.19095522
1888,1095.757642,2534.110398,75.11035553,1137.859836,14.34215496
1889,1097.120159,2532.312708,75.92960019,1148.134919,14.33482126
1890,1191.992969,2520.270356,77.07862319,1187.252361,15.43278649
1891,1247.575065,2507.988844,77.68229292,1205.060408,16.02679754
1892,1256.707537,2561.196286,78.54558089,1222.77734,16.30684661
1893,1238.107898,2564.061168,79.81501329,1240.778483,16.21599151
1894,1286.676887,2622.209594,81.38345626,1260.063971,16.79657324
1895,1362.118796,2641.864587,82.23116014,1277.162714,17.66577431
1896,1405.955764,2651.009917,83.00005426,1294.783437,18.15088036
1897,1473.038386,2659.941939,84.39253635,1311.33428,19.01112916
1898,1551.175545,2669.096822,85.36127162,1326.524387,19.98900757
1899,1697.800966,2669.754913,86.70543387,1341.415759,21.64246331
1900,1788.820939,2677.143179,87.61328845,1356.16296,22.66210071
1901,1848.660826,2920.220385,88.39116711,1369.103372,23.51382737
1902,1903.11229,2932.578084,89.26282464,1384.515481,24.16340112
1903,2075.742538,3039.918912,89.89074057,1399.355378,26.0476803
1904,2107.614101,3137.132745,91.35674943,1415.597756,26.50752099
1905,2243.726713,3236.03741,92.40132432,1432.563082,28.15802848
1906,2360.91611,3349.10565,93.24998316,1449.951799,29.48689884
1907,2663.744559,3382.273038,94.56080194,1466.751575,32.47930468
1908,2576.958064,3416.650809,95.71237193,1483.124656,31.13285704
1909,2672.675265,3442.615327,96.4666946,1499.100897,32.69101093
1910,2805.96325,3465.07142,97.77187103,1515.944833,34.19279814
1911,2861.986257,3251.843109,98.42938116,1533.705815,34.43465078
1912,3004.722072,3117.85701,99.26614632,1559.234255,35.92235271
1913,3259.649461,3006.122949,100.6125584,1589.117029,38.0860897
1914,2973.66654,2965.286448,102.2840587,1621.623061,35.13405679
1915,2942.51981,2922.036651,103.0579197,1656.958176,35.09148718
1916,3170.958207,2930.495173,104.0889435,1693.364385,38.07157453
1917,3285.621644,2941.618045,105.4397415,1728.658905,39.75198229
1918,3251.813367,2953.675083,106.7459316,1761.607495,39.4249845
1919,2861.421008,2972.449133,108.095107,1791.469847,33.93663048
1920,3309.21524,2981.094687,109.1336385,1818.808186,37.54682246
1921,2908.96889,3156.185151,109.809348,1843.606981,32.04941278
1922,3092.413999,3127.125618,110.4858104,1867.742389,33.84898547
1923,3516.252425,3156.863354,112.2535641,1893.417388,39.38589959
1924,3555.830056,3179.505679,112.633506,1920.280893,38.98297228
1925,3604.712598,3191.17269,113.6704269,1944.746823,39.41628781
1926,3558.887022,3207.446458,114.5456303,1968.032742,39.55611646
1927,3928.22156,3352.291327,115.74748,1990.269408,42.21370855
1928,3943.582919,3364.921444,116.7958666,2010.725377,42.06447172
1929,4239.586225,3464.867641,118.0199977,2028.074719,44.73465019
1930,3931.53488,3747.998908,119.6701788,2043.067781,41.51990607
1931,3549.645518,3785.850465,119.9075078,2053.983826,36.63913266
1932,3225.71824,3426.202541,121.4219873,2064.648995,32.25189542
1933,3383.942487,3414.535978,122.3437659,2073.559632,33.93713757
1934,3666.967337,3371.399627,123.9532999,2083.434567,37.30163266
1935,3849.855802,3366.469335,124.8946044,2093.473152,40.09333853
1936,4215.457073,3397.195986,126.4647048,2103.273406,43.12786142
1937,4511.311211,3314.552106,127.1823371,2115.583882,46.39105113
1938,4255.968439,3324.831062,127.905393,2129.097792,43.01883966
1939,4516.84672,3319.548711,129.5013568,2147.484085,45.94885454
1940,4882.854452,3274.049486,130.1349943,2167.531925,50.23977106
1941,4973.871648,3210.353251,132.2180939,2242.12032,52.14654754
1942,4980.163241,3288.160874,134.7060241,2403.563698,53.32090164
1943,5141.019629,3269.143574,136.6296869,2636.053052,54.13624126
1944,5085.933086,3291.841556,138.9310562,2912.496904,53.07350504
1945,4327.405026,3293.685578,141.022964,3215.873034,46.75690203
1946,4742.566944,3601.956519,142.7064022,3522.872151,46.20250369
1947,5313.062133,3714.411991,144.7944965,3815.763525,51.87623011
1948,5649.648194,3744.290791,147.2720295,4068.702451,54.2400157
1949,5551.761022,3782.548133,150.2157149,4264.104068,52.31608638
1950,6213.731176,3830.938177,152.2010084,4378.498715,58.2062882
1951,6659.606041,4631.084947,155.2719352,4447.58005,60.66323151
1952,6786.099892,4732.664117,160.5733576,4514.631057,61.44989309
1953,6984.021272,4722.234813,165.6818323,4585.338771,62.68709014
1954,7165.186495,4920.19064,170.3710079,4658.918556,63.10483375
1955,7837.469428,5085.59436,174.7404471,4738.573836,69.00315621
1956,8395.39109,5299.828735,180.6711175,4819.784587,74.12190737
1957,8738.872584,5414.199536,186.0555677,4906.311841,77.62640658
1958,9040.53885,5601.462885,188.3855399,5002.815188,78.56142199
1959,9541.019563,5400.1783,192.6867573,5106.721646,82.51022592
1960,9998.246947,5355.659833,197.2611005,5222.367036,85.80760421
1961,10084.92943,5610.847,205.1383413,5570.292269,96.59080752
1962,10511.07056,5572.613933,207.2122992,5779.894618,98.59311393
1963,11125.94113,5596.3765,216.1922656,5976.276518,101.6784711
1964,11702.72338,5563.5569,216.556163,6199.344235,105.4986908
1965,12246.75033,5677.731033,222.6664157,6465.560236,107.9591805
1966,12831.8669,5686.360533,226.3106958,6773.507547,110.366455
1967,13287.15772,5847.963,232.3331465,7041.513558,109.3551933
1968,14051.66841,5668.8731,235.3354027,7256.009223,113.5595977
1969,14883.39681,5656.838367,239.1848516,7435.615436,116.7534789
1970,15843.28502,5613.6718,244.4183955,7406.667102,122.867878
1971,16527.5501,5150.578033,249.2895331,7327.060018,123.2413271
1972,17246.69564,4862.489867,257.2102054,7746.900966,126.7324979
1973,18233.00875,4831.153433,260.294725,7935.570129,132.4288265
1974,18132.227,4729.1475,261.8082771,7909.792367,130.5396034
1975,18060.67209,4775.5246,263.0585486,8180.647431,128.1655913
1976,19035.55633,4837.821633,269.9482097,8409.325613,134.0976169
1977,19657.66065,4954.6904,274.0301524,8640.444045,135.3432378
1978,20454.21696,4761.222033,276.3333545,8837.869319,135.834174
1979,20999.96016,4589.050767,281.6000656,9123.755918,138.0244007
1980,20707.59534,4559.0688,283.3464702,9227.258503,137.3534112
1981,20298.59921,4590.867967,279.7894207,9121.12527,133.1699011
1982,20071.08667,4610.406533,287.6693154,9494.515703,130.860453
1983,20092.38694,5251.240133,281.6176584,9530.292753,128.9037345
1984,20590.54239,5354.58,285.0030452,9421.16412,130.4163407
1985,20810.00575,5495.730533,285.6752697,9421.444217,130.7442052
1986,21196.38264,5607.019,290.8084488,9620.413269,130.7545577
1987,21774.34096,5554.162167,295.0485147,9977.117278,133.2343341
1988,22475.37858,5551.983433,298.6854951,9722.719932,134.3653495
1989,22760.31988,5614.4077,302.1641744,9842.472009,134.4161679
1990,22671.23921,5295.479933,305.2725547,9862.303869,133.9791278
1991,22683.40316,5998.185967,318.7311921,9968.816852,132.7375512
1992,22521.36802,6167.4723,299.4017955,9990.075747,128.2477768
1993,22695.36268,5667.8996,299.4425141,9915.093855,126.1942302
1994,22866.39317,5510.289033,310.2518368,10121.0314,123.4484152
1995,23369.59016,5445.6622,305.4095889,10218.83369,121.0821185
1996,23860.59967,5387.4469,307.2912075,10278.76332,119.1142065
1997,24092.17289,8000.636862,331.2889198,10590.22033,119.5500481
1998,24150.38625,5647.810562,315.3326212,10128.40716,117.026167
1999,24410.08257,4776.350962,309.4083709,9868.586122,110.8741189
2000,25259.64138,4402.238762,310.1868098,9603.187087,111.1486043
2001,25493.87142,3524.472129,312.8963787,9722.247312,111.9237249
2002,26010.04667,3923.348629,322.2788312,9991.772281,111.2015633
2003,27207.37171,3301.819662,328.1242242,10099.78688,115.1038782
2004,28629.01552,3804.476395,338.9417722,10354.57088,120.493726
2005,29658.16426,3758.465595,346.3955546,10516.57055,124.9806758
2006,30627.93467,4003.930962,356.4696896,10802.56173,125.8962842
2007,31811.60094,3540.631862,355.0225755,10363.48133,125.087574
2008,32002.12181,2449.088662,360.4917105,10429.68145,122.3606509
2009,31459.23519,2766.155962,364.2003634,10546.74194,117.2593915
2010,32890.3978,3243.438262,370.8962528,10539.817,116.3174481
2011,33917.99126,3348.037995,372.6576832,10446.42833,117.4857589
2012,34396.87388,3557.037995,380.8097666,10593.89773,115.6695764
2013,35396.3397,3366.371329,381.5943928,10759.04688,114.6481774
2014,35615.57673,4015.371329,387.8735392,10866.28352,114.0086622
2015,35635.2863,3517.44,388.0727957,10900,100.771167
