Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
Australia,AUS,2010,,,,0.4239567,,,
Australia,AUS,2011,,,,0.43069142,,,
Australia,AUS,2012,,,,0.26103023,,,
Australia,AUS,2013,,,,0.1501569,,,
Australia,AUS,2014,,,,0.123621404,,,
Australia,AUS,2015,,,,0.1066126,,,
Australia,AUS,2016,,,,0.08202892,,,
Australia,AUS,2017,,,,0.089927785,,,
Australia,AUS,2018,,,,0.07406949,,,
Australia,AUS,2019,,,,0.07070799,,,
Australia,AUS,2020,,,,0.053563822,,,
Australia,AUS,2021,,,,0.04228514,,,
Brazil,BRA,1998,,,,,,,0.053076696
Brazil,BRA,2001,,,,,,,0.14041322
Brazil,BRA,2002,,,,,,,0.11920648
Brazil,BRA,2003,,,,,,,0.13523011
Brazil,BRA,2005,,,,,,,0.126946
Brazil,BRA,2006,,,,,,,0.09186466
Brazil,BRA,2007,,,,,,,0.09692162
Brazil,BRA,2008,,,,,,,0.08540316
Brazil,BRA,2009,,,,,,,0.1125968
Brazil,BRA,2010,,,,,,,0.109430514
Brazil,BRA,2011,,,,,,,0.08839128
Brazil,BRA,2012,,,,,,,0.084496714
Brazil,BRA,2013,,,,,,,0.07826178
Brazil,BRA,2014,,,,,,,0.06430881
Brazil,BRA,2015,,,,,,,0.055246472
Brazil,BRA,2016,,,,,,,0.053584162
Brazil,BRA,2017,,,,,,,0.045001924
Brazil,BRA,2018,,,,,,,0.044300146
Brazil,BRA,2019,,,,,,,0.034077007
Brazil,BRA,2020,,,,,,,0.032227434
Brazil,BRA,2021,,,,,,,0.023675622
Canada,CAN,1990,,,,,,,0.1940042
Canada,CAN,1992,,,,,,,0.18494709
Canada,CAN,1994,,,,,,,0.09279627
Canada,CAN,1996,,,,,,,0.15513031
Canada,CAN,1999,,,,,,,0.15476184
Canada,CAN,2000,,,,,,,0.12835398
Canada,CAN,2001,,,,,,,0.09705347
Canada,CAN,2002,,,,,,,0.09142099
Canada,CAN,2003,,,,,,,0.09258934
Canada,CAN,2004,,,,,,,0.09075055
Canada,CAN,2005,,,,,,,0.08295157
Canada,CAN,2006,,,,,,,0.08787881
Canada,CAN,2007,,,,,,,0.09966969
Canada,CAN,2008,,,,,,,0.10012215
Canada,CAN,2009,,,,,,,0.09946103
Canada,CAN,2010,,,,,,,0.11103799
Canada,CAN,2011,,,,,,,0.098163895
Canada,CAN,2012,,,,,,,0.108819865
Canada,CAN,2013,,,,,,,0.10019473
Canada,CAN,2014,,,,,,,0.08756866
Canada,CAN,2015,,,,,,,0.080491066
Canada,CAN,2016,,,,,,,0.080697164
Canada,CAN,2017,,,,,,,0.06509453
Canada,CAN,2018,,,,,,,0.05353617
Canada,CAN,2019,,,,,,,0.05697208
Canada,CAN,2020,,,,,,,0.03649771
Canada,CAN,2021,,,,,,,0.029625542
China,CHN,2010,,,,0.30835205,,,0.08291851
China,CHN,2011,,,,0.2696766,,,0.07829489
China,CHN,2012,,,,0.19792174,,,0.07696838
China,CHN,2013,,,,0.15542823,,,0.072256915
China,CHN,2014,,,,0.11619345,,,0.068088576
China,CHN,2015,,,,0.08657164,,,0.06324118
China,CHN,2016,,,,0.07509524,,,0.058467355
China,CHN,2017,,,,0.06575502,,,0.046077926
China,CHN,2018,,,,0.05041504,,,0.0482948
China,CHN,2019,,,,0.046723545,,,0.037572194
China,CHN,2020,,,,0.03987938,,,0.034588665
China,CHN,2021,,,,0.034198184,,,0.028007098
China,CHN,1996,,,,,,,0.18164247
China,CHN,1997,,,,,,,0.18164247
China,CHN,1998,,,,,,,0.166726
China,CHN,1999,,,,,,,0.16321819
China,CHN,2000,,,,,,,0.14922291
China,CHN,2001,,,,,,,0.12468569
China,CHN,2002,,,,,,,0.14047137
China,CHN,2003,,,,,,,0.09866734
China,CHN,2004,,,,,,,0.10413199
China,CHN,2005,,,,,,,0.10206682
China,CHN,2006,,,,,,,0.096912526
China,CHN,2007,,,,,,,0.08495954
China,CHN,2008,,,,,,,0.0898723
China,CHN,2009,,,,,,,0.09099171
Denmark,DNK,1984,,,,,,,0.2371748
Denmark,DNK,1985,,,,,,,0.22235282
Denmark,DNK,1986,,,,,,,0.21547599
Denmark,DNK,1987,,,,,,,0.20560089
Denmark,DNK,1988,,,,,,,0.21551454
Denmark,DNK,1989,,,,,,,0.19646904
Denmark,DNK,1990,,,,,,,0.19716702
Denmark,DNK,1991,,,,,,,0.1865857
Denmark,DNK,1992,,,,,,,0.18328875
Denmark,DNK,1993,,,,,,,0.1841186
Denmark,DNK,1995,,,,,,,0.15327154
Denmark,DNK,1996,,,,,,,0.14933795
Denmark,DNK,1997,,,,,,,0.15341401
Denmark,DNK,1998,,,,,,,0.15657647
Denmark,DNK,1999,,,,,,,0.15372644
Denmark,DNK,2000,,,,,,,0.16735479
Denmark,DNK,2001,,,,,,,0.16139817
Denmark,DNK,2002,,,,,,,0.11854891
Denmark,DNK,2003,,,,,,,0.09519422
Denmark,DNK,2004,,,,,,,0.08490888
Denmark,DNK,2005,,,,,,,0.09956174
Denmark,DNK,2006,,,,,,,0.123286046
Denmark,DNK,2008,,,,,,,0.11873595
Denmark,DNK,2010,,,,,,,0.11967064
Denmark,DNK,2011,,,,,,,0.11685397
Denmark,DNK,2012,,,,,,,0.09105425
Denmark,DNK,2013,,,,,,,0.08896074
Denmark,DNK,2015,,,,,,,0.063312925
Denmark,DNK,2016,,,,,,,0.055428237
Denmark,DNK,2017,,,,,,,0.045787793
Denmark,DNK,2018,,,,,,,0.043740116
Denmark,DNK,2019,,,,,,,0.04533685
Denmark,DNK,2020,,,,,,,0.03997884
France,FRA,2010,,,,0.39622504,,,0.13456738
France,FRA,2011,,,,0.40249026,,,0.118863866
France,FRA,2012,,,,0.4092841,,,0.105976604
France,FRA,2013,,,,0.24327987,,,0.09619412
France,FRA,2014,,,,0.1622646,,,0.0881045
France,FRA,2015,,,,0.11420018,,,0.082430765
France,FRA,2016,,,,0.09002813,,,0.07559497
France,FRA,2017,,,,0.08077769,,,0.0827867
France,FRA,2018,,,,0.06827521,,,0.064475745
France,FRA,2019,,,,0.06272443,,,0.05288562
France,FRA,2020,,,,0.055485584,,,0.046687216
France,FRA,2021,,,,0.04937929,,,0.043461747
France,FRA,1991,,,,,,,0.20359294
France,FRA,1993,,,,,,,0.2163642
France,FRA,1996,,,,,,,0.19867961
France,FRA,1997,,,,,,,0.18496035
France,FRA,1998,,,,,,,0.18308549
France,FRA,1999,,,,,,,0.17547306
France,FRA,2000,,,,,,,0.13987792
France,FRA,2001,,,,,,,0.1418427
France,FRA,2002,,,,,,,0.14690243
France,FRA,2003,,,,,,,0.113806486
France,FRA,2004,,,,,,,0.1279492
France,FRA,2005,,,,,,,0.12641829
France,FRA,2006,,,,,,,0.12728357
France,FRA,2007,,,,,,,0.11985202
France,FRA,2008,,,,,,,0.16003865
France,FRA,2009,,,,,,,0.13216022
Germany,DEU,2010,,,,0.37650403,,,0.14217848
Germany,DEU,2011,,,,0.318761,,,0.13595219
Germany,DEU,2012,,,,0.25737464,,,0.121349245
Germany,DEU,2013,,,,0.20379446,,,0.113351874
Germany,DEU,2014,,,,0.15059713,,,0.101039015
Germany,DEU,2015,,,,0.120279655,,,0.090764664
Germany,DEU,2016,,,,0.10560888,,,0.08180428
Germany,DEU,2017,,,,0.09638195,,,0.07937867
Germany,DEU,2018,,,,0.09244677,,,0.06680757
Germany,DEU,2019,,,,0.076485865,,,0.054783765
Germany,DEU,2020,,,,0.0659222,,,0.046763394
Germany,DEU,2021,,,,0.06054074,,,0.051362187
Germany,DEU,1984,,,,,,,0.25298056
Germany,DEU,1990,,,,,,,0.22033587
Germany,DEU,1991,,,,,,,0.208617
Germany,DEU,1992,,,,,,,0.22682063
Germany,DEU,1993,,,,,,,0.22207908
Germany,DEU,1994,,,,,,,0.16774829
Germany,DEU,1995,,,,,,,0.2061206
Germany,DEU,1996,,,,,,,0.18943778
Germany,DEU,1997,,,,,,,0.18820949
Germany,DEU,1998,,,,,,,0.17528565
Germany,DEU,1999,,,,,,,0.18683195
Germany,DEU,2000,,,,,,,0.1841436
Germany,DEU,2001,,,,,,,0.19223905
Germany,DEU,2002,,,,,,,0.15312724
Germany,DEU,2003,,,,,,,0.13988975
Germany,DEU,2004,,,,,,,0.13999988
Germany,DEU,2005,,,,,,,0.14491752
Germany,DEU,2006,,,,,,,0.14910735
Germany,DEU,2007,,,,,,,0.13707228
Germany,DEU,2008,,,,,,,0.164476
Germany,DEU,2009,,,,,,,0.15193175
India,IND,2010,,,,0.3522841,,,0.08987932
India,IND,2011,,,,0.22417882,,,0.082927674
India,IND,2012,,,,0.19071592,,,0.09594398
India,IND,2013,,,,0.19027169,,,0.095000975
India,IND,2014,,,,0.12418194,,,0.09114224
India,IND,2015,,,,0.08144649,,,0.07712241
India,IND,2016,,,,0.07678855,,,0.06695452
India,IND,2017,,,,0.07011864,,,0.053850763
India,IND,2018,,,,0.05098757,,,0.04226653
India,IND,2019,,,,0.04042649,,,0.0421142
India,IND,2020,,,,0.038364064,,,0.038190298
India,IND,2021,,,,0.03474201,,,0.029906465
India,IND,1990,,,,,,,0.2374089
India,IND,1991,,,,,,,0.2712709
India,IND,1992,,,,,,,0.24864517
India,IND,1993,,,,,,,0.24864517
India,IND,1994,,,,,,,0.24864517
India,IND,1995,,,,,,,0.23356135
India,IND,1996,,,,,,,0.22601944
India,IND,1997,,,,,,,0.20755365
India,IND,1998,,,,,,,0.21093562
India,IND,1999,,,,,,,0.20339371
India,IND,2000,,,,,,,0.19819096
India,IND,2001,,,,,,,0.15253796
India,IND,2002,,,,,,,0.1380333
India,IND,2003,,,,,,,0.1495579
India,IND,2004,,,,,,,0.12423102
India,IND,2005,,,,,,,0.11563679
India,IND,2006,,,,,,,0.13297398
India,IND,2007,,,,,,,0.10407907
India,IND,2008,,,,,,,0.11058166
India,IND,2009,,,,,,,0.085253164
Italy,ITA,2010,,,,0.4195348,,,0.13568826
Italy,ITA,2011,,,,0.39490283,,,0.15576813
Italy,ITA,2012,,,,0.20137814,,,0.14094089
Italy,ITA,2013,,,,0.17812791,,,0.102453895
Italy,ITA,2014,,,,0.14676638,,,0.09756739
Italy,ITA,2017,,,,0.07277317,,,0.08739848
Italy,ITA,2018,,,,0.06377539,,,0.057036687
Italy,ITA,2019,,,,0.058950685,,,0.052479446
Italy,ITA,2020,,,,0.05557109,,,0.052158937
Italy,ITA,2021,,,,0.0507096,,,0.04085369
Italy,ITA,1989,,,,,,,0.2043723
Italy,ITA,1991,,,,,,,0.19418892
Italy,ITA,1992,,,,,,,0.2104087
Italy,ITA,1993,,,,,,,0.20566714
Italy,ITA,1994,,,,,,,0.19327341
Italy,ITA,1995,,,,,,,0.18279012
Italy,ITA,1996,,,,,,,0.18741955
Italy,ITA,1997,,,,,,,0.17426328
Italy,ITA,1998,,,,,,,0.17238842
Italy,ITA,1999,,,,,,,0.164776
Italy,ITA,2000,,,,,,,0.15811984
Italy,ITA,2001,,,,,,,0.1325409
Italy,ITA,2002,,,,,,,0.1480929
Italy,ITA,2003,,,,,,,0.13384978
Italy,ITA,2004,,,,,,,0.1159124
Italy,ITA,2005,,,,,,,0.13125773
Italy,ITA,2006,,,,,,,0.12893744
Italy,ITA,2007,,,,,,,0.12794913
Italy,ITA,2008,,,,,,,0.13672335
Italy,ITA,2009,,,,,,,0.14629456
Italy,ITA,2015,,,,,,,0.094148874
Italy,ITA,2016,,,,,,,0.07215399
Japan,JPN,2011,,,,0.43872625,,,0.14816925
Japan,JPN,2012,,,,0.31387824,,,0.18525063
Japan,JPN,2013,,,,0.26047596,,,0.16559906
Japan,JPN,2014,,,,0.23084253,,,0.15481062
Japan,JPN,2015,,,,0.16521524,,,0.12809746
Japan,JPN,2016,,,,0.1660822,,,0.17842601
Japan,JPN,2017,,,,0.13125008,,,0.12589623
Japan,JPN,2018,,,,0.121405095,,,0.14224303
Japan,JPN,2019,,,,0.11157266,,,0.121834986
Japan,JPN,2020,,,,0.10416547,,,0.10743379
Japan,JPN,2021,,,,0.086479224,,,0.14055713
Japan,JPN,2000,,,,,,,0.16865392
Japan,JPN,2005,,,,,,,0.16682677
Japan,JPN,2010,,,,,,,0.17022641
Mexico,MEX,2007,,,,,,,0.06369343
Mexico,MEX,2008,,,,,,,0.056250177
Mexico,MEX,2009,,,,,,,0.08362679
Mexico,MEX,2010,,,,,,,0.09875461
Mexico,MEX,2011,,,,,,,0.08509109
Mexico,MEX,2012,,,,,,,0.06644708
Mexico,MEX,2013,,,,,,,0.07742004
Mexico,MEX,2014,,,,,,,0.07554952
Mexico,MEX,2015,,,,,,,0.06945953
Mexico,MEX,2016,,,,,,,0.06940652
Mexico,MEX,2017,,,,,,,0.058093075
Mexico,MEX,2018,,,,,,,0.041350257
Mexico,MEX,2019,,,,,,,0.056750346
Mexico,MEX,2020,,,,,,,0.04600025
Mexico,MEX,2021,,,,,,,0.04214128
Netherlands,NLD,2016,,,,0.11939912,,,
Netherlands,NLD,2017,,,,0.1328713,,,
Netherlands,NLD,2018,,,,0.10124573,,,
Netherlands,NLD,2019,,,,0.09663435,,,
Netherlands,NLD,2020,,,,0.09129814,,,
Netherlands,NLD,2021,,,,0.0781061,,,
South Korea,KOR,2010,,,,0.4509997,,,
South Korea,KOR,2011,,,,0.4721218,,,
South Korea,KOR,2012,,,,0.19057739,,,
South Korea,KOR,2013,,,,0.22526984,,,
South Korea,KOR,2014,,,,0.17364664,,,
South Korea,KOR,2015,,,,0.15961091,,,
South Korea,KOR,2016,,,,0.15296403,,,
South Korea,KOR,2017,,,,0.10317841,,,
South Korea,KOR,2018,,,,0.08505376,,,
South Korea,KOR,2019,,,,0.078141004,,,
South Korea,KOR,2020,,,,0.059624854,,,
South Korea,KOR,2021,,,,0.05579204,,,
Spain,ESP,2010,,,,0.32602894,,,0.11689961
Spain,ESP,2011,,,,0.2270799,,,0.110066526
Spain,ESP,2012,,,,0.18320407,,,0.09502645
Spain,ESP,2013,,,,0.14007719,,,0.09103372
Spain,ESP,2014,,,,0.13464624,,,0.076079324
Spain,ESP,2015,,,,0.07887244,,,0.061772663
Spain,ESP,2019,,,,0.050239716,,,0.03841875
Spain,ESP,2020,,,,0.04604019,,,0.030920204
Spain,ESP,2021,,,,0.04778082,,,0.025176685
Spain,ESP,1990,,,,,,,0.15276395
Spain,ESP,1991,,,,,,,0.1514113
Spain,ESP,1992,,,,,,,0.143841
Spain,ESP,1993,,,,,,,0.1404163
Spain,ESP,1994,,,,,,,0.13146463
Spain,ESP,1995,,,,,,,0.123892814
Spain,ESP,1996,,,,,,,0.12046811
Spain,ESP,1997,,,,,,,0.1177341
Spain,ESP,1998,,,,,,,0.11358706
Spain,ESP,1999,,,,,,,0.10563063
Spain,ESP,2000,,,,,,,0.10996727
Spain,ESP,2001,,,,,,,0.10643823
Spain,ESP,2002,,,,,,,0.10074362
Spain,ESP,2003,,,,,,,0.09738506
Spain,ESP,2004,,,,,,,0.10738425
Spain,ESP,2005,,,,,,,0.10111704
Spain,ESP,2006,,,,,,,0.10438538
Spain,ESP,2007,,,,,,,0.121102646
Spain,ESP,2008,,,,,,,0.11930963
Spain,ESP,2009,,,,,,,0.114267476
Spain,ESP,2016,,,,,,,0.05698509
Spain,ESP,2017,,,,,,,0.05601185
Spain,ESP,2018,,,,,,,0.07693834
Sweden,SWE,1984,,,,,,,0.2523369
Sweden,SWE,1990,,,,,,,0.21972276
Sweden,SWE,1991,,,,,,,0.20803191
Sweden,SWE,1992,,,,,,,0.22615509
Sweden,SWE,1993,,,,,,,0.22141354
Sweden,SWE,1994,,,,,,,0.20901981
Sweden,SWE,1995,,,,,,,0.19853652
Sweden,SWE,1996,,,,,,,0.2039947
Sweden,SWE,1997,,,,,,,0.19000967
Sweden,SWE,1998,,,,,,,0.18813482
Sweden,SWE,1999,,,,,,,0.18052238
Sweden,SWE,2001,,,,,,,0.14623341
Sweden,SWE,2002,,,,,,,0.1673399
Sweden,SWE,2003,,,,,,,0.12967011
Sweden,SWE,2004,,,,,,,0.14061679
Sweden,SWE,2005,,,,,,,0.14551297
Sweden,SWE,2006,,,,,,,0.14551297
Sweden,SWE,2007,,,,,,,0.13179845
Sweden,SWE,2008,,,,,,,0.14917386
Sweden,SWE,2009,,,,,,,0.14366922
Sweden,SWE,2010,,,,,,,0.11451011
Sweden,SWE,2011,,,,,,,0.10907323
Sweden,SWE,2012,,,,,,,0.105462246
Sweden,SWE,2013,,,,,,,0.083965436
Sweden,SWE,2014,,,,,,,0.090954416
Sweden,SWE,2015,,,,,,,0.07375525
Sweden,SWE,2016,,,,,,,0.06313498
Sweden,SWE,2017,,,,,,,0.056847084
Sweden,SWE,2018,,,,,,,0.04238039
Sweden,SWE,2019,,,,,,,0.040514875
Sweden,SWE,2020,,,,,,,0.038623493
Sweden,SWE,2021,,,,,,,0.036375675
Turkey,TUR,2016,,,,0.12655638,,,0.07215444
Turkey,TUR,2017,,,,0.12046391,,,0.06516842
Turkey,TUR,2018,,,,0.09587503,,,0.072465286
Turkey,TUR,2019,,,,0.08706513,,,0.06926356
Turkey,TUR,2020,,,,0.06705172,,,0.050269816
Turkey,TUR,2021,,,,0.0640246,,,0.044634294
Turkey,TUR,1998,,,,,,,0.086582854
Turkey,TUR,2000,,,,,,,0.07863785
Turkey,TUR,2009,,,,,,,0.06774616
Turkey,TUR,2010,,,,,,,0.12797143
Turkey,TUR,2011,,,,,,,0.09477631
Turkey,TUR,2012,,,,,,,0.08422173
Turkey,TUR,2013,,,,,,,0.08495713
Turkey,TUR,2014,,,,,,,0.09270858
Turkey,TUR,2015,,,,,,,0.08066328
Ukraine,UKR,2011,,,,0.5188495,,,
Ukraine,UKR,2013,,,,0.4037338,,,
Ukraine,UKR,2017,,,,0.13571915,,,
Ukraine,UKR,2018,,,,0.13889024,,,
Ukraine,UKR,2019,,,,0.095474236,,,
Ukraine,UKR,2020,,,,0.09331378,,,
Ukraine,UKR,2021,,,,0.11676699,,,
United Kingdom,GBR,2010,,,,0.5340079,,,0.10233368
United Kingdom,GBR,2011,,,,0.49272853,,,0.10502856
United Kingdom,GBR,2012,,,,0.2900355,,,0.093658954
United Kingdom,GBR,2013,,,,0.23476368,,,0.09322738
United Kingdom,GBR,2014,,,,0.19213423,,,0.08808455
United Kingdom,GBR,2015,,,,0.14969818,,,0.08042729
United Kingdom,GBR,2016,,,,0.14178355,,,0.06957678
United Kingdom,GBR,2017,,,,0.11634936,,,0.066068396
United Kingdom,GBR,2018,,,,0.1181692,,,0.046249684
United Kingdom,GBR,2019,,,,0.088153124,,,0.056466475
United Kingdom,GBR,2020,,,,0.07481206,,,0.045735206
United Kingdom,GBR,2021,,,,0.06895723,,,0.042237155
United Kingdom,GBR,1989,,,,,,,0.20415092
United Kingdom,GBR,1990,,,,,,,0.20500809
United Kingdom,GBR,1991,,,,,,,0.19398992
United Kingdom,GBR,1992,,,,,,,0.20847157
United Kingdom,GBR,1993,,,,,,,0.19127405
United Kingdom,GBR,1994,,,,,,,0.19304705
United Kingdom,GBR,1995,,,,,,,0.18256375
United Kingdom,GBR,1996,,,,,,,0.18718126
United Kingdom,GBR,1997,,,,,,,0.1740369
United Kingdom,GBR,1998,,,,,,,0.17216206
United Kingdom,GBR,1999,,,,,,,0.16454962
United Kingdom,GBR,2000,,,,,,,0.11315568
United Kingdom,GBR,2001,,,,,,,0.1283265
United Kingdom,GBR,2002,,,,,,,0.13384654
United Kingdom,GBR,2003,,,,,,,0.13365294
United Kingdom,GBR,2004,,,,,,,0.14029786
United Kingdom,GBR,2005,,,,,,,0.13268963
United Kingdom,GBR,2006,,,,,,,0.13314562
United Kingdom,GBR,2007,,,,,,,0.12634729
United Kingdom,GBR,2008,,,,,,,0.1387804
United Kingdom,GBR,2009,,,,,,,0.07675461
United States,USA,2010,,,,0.22071867,,,0.10264576
United States,USA,2011,,,,0.2627196,,,0.10847992
United States,USA,2012,,,,0.22718425,,,0.09205702
United States,USA,2013,,,,0.22637878,,,0.07594883
United States,USA,2014,,,,0.15501648,,,0.06268506
United States,USA,2015,,,,0.14340648,,,0.056870524
United States,USA,2016,,,,0.13033208,,,0.052276865
United States,USA,2017,,,,0.09481538,,,0.045964383
United States,USA,2018,,,,0.07368063,,,0.042361673
United States,USA,2019,,,,0.062099442,,,0.038209517
United States,USA,2020,,,,0.060060732,,,0.034139894
United States,USA,2021,,,,0.055293158,,,0.02961255
United States,USA,1984,,,,,,,0.32380807
United States,USA,1985,,,,,,,0.3044088
United States,USA,1986,,,,,,,0.27523696
United States,USA,1987,,,,,,,0.2694026
United States,USA,1988,,,,,,,0.21000881
United States,USA,1989,,,,,,,0.19602023
United States,USA,1990,,,,,,,0.2162832
United States,USA,1991,,,,,,,0.20989212
United States,USA,1998,,,,,,,0.120570146
United States,USA,1999,,,,,,,0.11613337
United States,USA,2000,,,,,,,0.10138847
United States,USA,2001,,,,,,,0.09534082
United States,USA,2002,,,,,,,0.09022507
United States,USA,2003,,,,,,,0.080114976
United States,USA,2004,,,,,,,0.08824527
United States,USA,2005,,,,,,,0.0780249
United States,USA,2006,,,,,,,0.08819039
United States,USA,2007,,,,,,,0.08683384
United States,USA,2008,,,,,,,0.09884649
United States,USA,2009,,,,,,,0.1102728
Vietnam,VNM,2016,,,,0.17619993,,,
Vietnam,VNM,2017,,,,0.25426394,,,
Vietnam,VNM,2019,,,,0.07367718,,,
Vietnam,VNM,2020,,,,0.06579177,,,
Vietnam,VNM,2021,,,,0.04576739,,,
World,OWID_WRL,2010,0.07818927,0.05044529,0.18785676,0.41714868,0.3580038,0.038882706,0.102061465
World,OWID_WRL,2011,0.056684334,,0.19754878,0.31129825,0.34665465,0.03656066,0.09648669
World,OWID_WRL,2012,0.06187914,0.08569454,0.16660058,0.23263325,0.3375742,0.038037654,0.08839028
World,OWID_WRL,2013,0.08219819,0.06411118,0.16666164,0.1794014,0.24888833,0.042512473,0.08920628
World,OWID_WRL,2014,0.08237512,0.06533503,0.17219925,0.16125813,0.21637706,0.042456634,0.080203146
World,OWID_WRL,2015,0.07277113,0.05884901,0.14052741,0.12107989,0.223889,0.036572017,0.068961546
World,OWID_WRL,2016,0.071178205,0.06780182,0.11632308,0.106340416,0.24726917,0.04838911,0.06385536
World,OWID_WRL,2017,0.07107003,0.07091718,0.10615218,0.083659746,0.20621318,0.05072171,0.05995916
World,OWID_WRL,2018,0.055360332,0.06758344,0.10004871,0.07113868,0.14910279,0.039836742,0.05087996
World,OWID_WRL,2019,0.06393309,0.067305215,0.08638764,0.062119152,0.21183106,0.041408572,0.044592004
World,OWID_WRL,2020,0.07247308,0.054264043,0.08626575,0.055443965,0.10665299,0.045965873,0.03713682
World,OWID_WRL,2021,0.067342535,0.06761599,0.07516697,0.04834554,0.11424175,0.04829987,0.033123367
World,OWID_WRL,2007,,0.05007819,0.21350704,,,,0.10228007
World,OWID_WRL,2008,,0.055424795,0.21072298,,,,0.10760544
World,OWID_WRL,2009,,0.09531676,0.19494483,,,,0.1053068
World,OWID_WRL,2000,,,0.1707826,,,,0.16236141
World,OWID_WRL,2001,,,0.16112547,,,,0.14201893
World,OWID_WRL,2002,,,0.13536467,,,,0.13127674
World,OWID_WRL,2003,,,0.12575519,,,,0.11504814
World,OWID_WRL,2004,,,0.17802335,,,,0.116608016
World,OWID_WRL,2005,,,0.15135488,,,,0.10943693
World,OWID_WRL,2006,,,0.14865257,,,,0.11239332
World,OWID_WRL,1983,,,,,,,0.32785082
World,OWID_WRL,1984,,,,,,,0.32007387
World,OWID_WRL,1985,,,,,,,0.2972214
World,OWID_WRL,1986,,,,,,,0.2641942
World,OWID_WRL,1987,,,,,,,0.2564197
World,OWID_WRL,1988,,,,,,,0.21215738
World,OWID_WRL,1989,,,,,,,0.19643468
World,OWID_WRL,1990,,,,,,,0.2086876
World,OWID_WRL,1991,,,,,,,0.20031708
World,OWID_WRL,1992,,,,,,,0.20065267
World,OWID_WRL,1993,,,,,,,0.21116926
World,OWID_WRL,1994,,,,,,,0.1982574
World,OWID_WRL,1995,,,,,,,0.20773248
World,OWID_WRL,1996,,,,,,,0.18573205
World,OWID_WRL,1997,,,,,,,0.16313075
World,OWID_WRL,1998,,,,,,,0.15288077
World,OWID_WRL,1999,,,,,,,0.15087588